time,IN_A,IN_B,OUT_1,OUT_2
1.6699999999999998e-09,0,0,0,0
1.68e-09,0,0,0,0
1.69e-09,0,0,0,0
1.7e-09,0,0,0,0
1.7099999999999999e-09,0,0,0,0
1.7199999999999999e-09,0,0,0,0
1.7299999999999998e-09,0,0,0,0
1.74e-09,0,0,0,0
1.75e-09,0,0,0,0
1.76e-09,0,0,0,0
1.7699999999999999e-09,0,0,0,0
1.7799999999999999e-09,0,0,0,0
1.7899999999999998e-09,0,0,0,0
1.8e-09,0,0,0,0
1.81e-09,0,0,0,0
1.82e-09,0,0,0,0
1.8299999999999999e-09,0,0,0,0
1.8399999999999998e-09,0,0,0,0
1.8499999999999998e-09,0,0,0,0
1.86e-09,0,0,0,0
1.87e-09,0,0,0,0
1.8799999999999997e-09,0,0,0,0
1.89e-09,0,0,0,0
1.9e-09,0,0,0,0
1.91e-09,0,0,0,0
1.92e-09,0,0,0,0
1.9299999999999997e-09,0,0,0,0
1.94e-09,0,0,0,0
1.9499999999999997e-09,0,0,0,0
1.96e-09,0,0,0,0
1.97e-09,0,0,0,0
1.9799999999999998e-09,0,0,0,0
1.99e-09,0,0,0,0
1.9999999999999997e-09,0,0,0,0
2.01e-09,0,0,0,0
2.02e-09,0,0,0,0
2.03e-09,0,0,0,0
2.04e-09,0,0,0,0
2.0499999999999997e-09,0,0,0,0
2.06e-09,0,0,0,0
2.0699999999999997e-09,0,0,0,0
2.08e-09,0,0,0,0
2.09e-09,0,0,0,0
2.0999999999999998e-09,0,0,0,0
2.11e-09,0,0,0,0
2.1199999999999997e-09,0,0,0,0
2.13e-09,0,0,0,0
2.14e-09,0,0,0,0
2.15e-09,0,0,0,0
2.16e-09,0,0,0,0
2.1699999999999997e-09,0,0,0,0
2.18e-09,0,0,0,0
2.1899999999999997e-09,0,0,0,0
2.2e-09,0,0,0,0
2.21e-09,0,0,0,0
2.2199999999999998e-09,0,0,0,0
2.23e-09,0,0,0,0
2.2399999999999997e-09,0,0,0,0
2.25e-09,0,0,0,0
2.26e-09,0,0,0,0
2.27e-09,0,0,0,0
2.28e-09,0,0,0,0
2.2899999999999997e-09,0,0,0,0
2.3e-09,0,0,0,0
2.3099999999999997e-09,0,0,0,0
2.32e-09,0,0,0,0
2.33e-09,0,0,0,0
2.3399999999999998e-09,0,0,0,0
2.35e-09,0,0,0,0
2.3599999999999997e-09,0,0,0,0
2.37e-09,0,0,0,0
2.38e-09,0,0,0,0
2.39e-09,0,0,0,0
2.4e-09,0,0,0,0
2.4099999999999997e-09,0,0,0,0
2.42e-09,0,0,0,0
2.4299999999999997e-09,0,0,0,0
2.44e-09,0,0,0,0
2.45e-09,0,0,0,0
2.4599999999999998e-09,0,0,0,0
2.47e-09,0,0,0,0
2.4799999999999997e-09,0,0,0,0
2.49e-09,0,0,0,0
2.5e-09,0,0,0,0
2.51e-09,0,0,0,0
2.52e-09,0,0,0,0
2.5299999999999997e-09,0,0,0,0
2.54e-09,0,0,0,0
2.5499999999999997e-09,0,0,0,0
2.56e-09,0,0,0,0
2.57e-09,0,0,0,0
2.5799999999999998e-09,0,0,0,0
2.59e-09,0,0,0,0
2.5999999999999997e-09,0,0,0,0
2.61e-09,0,0,0,0
2.6199999999999996e-09,0,0,0,0
2.63e-09,0,0,0,0
2.64e-09,0,0,0,0
2.6499999999999997e-09,0,0,0,0
2.66e-09,0,0,0,0
2.6699999999999997e-09,0,0,0,0
2.68e-09,0,0,0,0
2.69e-09,0,0,0,0
2.6999999999999998e-09,0,0,0,0
2.71e-09,0,0,0,0
2.7199999999999997e-09,0,0,0,0
2.73e-09,0,0,0,0
2.7399999999999996e-09,0,0,0,0
2.75e-09,0,0,0,0
2.76e-09,0,0,0,0
2.7699999999999997e-09,0,0,0,0
2.78e-09,0,0,0,0
2.7899999999999997e-09,0,0,0,0
2.8e-09,0,0,0,0
2.81e-09,0,0,0,0
2.8199999999999998e-09,0,0,0,0
2.83e-09,0,0,0,0
2.8399999999999997e-09,0,0,0,0
2.85e-09,0,0,0,0
2.8599999999999996e-09,0,0,0,0
2.87e-09,0,0,0,0
2.88e-09,0,0,0,0
2.8899999999999997e-09,0,0,0,0
2.9e-09,0,0,0,0
2.9099999999999997e-09,0,0,0,0
2.92e-09,0,0,0,0
2.93e-09,0,0,0,0
2.9399999999999998e-09,0,0,0,0
2.95e-09,0,0,0,0
2.9599999999999997e-09,0,0,0,0
2.97e-09,0,0,0,0
2.9799999999999996e-09,0,0,0,0
2.99e-09,0,0,0,0
3e-09,0,0,0,0
3.0099999999999997e-09,0,0,0,0
3.02e-09,0,0,0,0
3.0299999999999997e-09,0,0,0,0
3.04e-09,0,0,0,0
3.05e-09,0,0,0,0
3.0599999999999998e-09,0,0,0,0
